CarID: 124 | Year: 2015 | Make: Jeep | Model: Wrangler | Rated-score 6
CarID: 114 | Year: 2010 | Make: Volkswagen | Model: Gti | Rated-score 2
CarID: 11 | Year: 1991 | Make: Nissan | Model: Skyline | Rated-score 2
CarID: 1051 | Year: 2006 | Make: Acura | Model: Tsx | Rated-score 2
CarID: 100 | Year: 2006 | Make: Volvo | Model: S60r | Rated-score 2
CarID: 10 | Year: 2001 | Make: Nissan | Model: S15 | Rated-score 2
CarID: Vip | Year: 2008 | Make: Volkswagen | Model: Gli | Rated-score 0
CarID: 99 | Year: 2014 | Make: Honda | Model: Civic si | Rated-score 2
CarID: 96 | Year: 2017 | Make: Volkswagen | Model: Gti | Rated-score 0
CarID: 95 | Year: 2004 | Make: Infiniti | Model: G35 | Rated-score 0
CarID: 94 | Year: 2004 | Make: Volkswagen | Model: Gti | Rated-score 0
CarID: 93 | Year: 2005 | Make: Acura | Model: TL | Rated-score 0
CarID: 92 | Year: 2017 | Make: Hyundai | Model: Elantra sport | Rated-score 0
CarID: 89 | Year: 2014 | Make: Honda | Model: Civic si | Rated-score 0
CarID: 86 | Year: 1996 | Make: Volkswagen | Model: Jetta | Rated-score 0
CarID: 85 | Year: 2017 | Make: Honda | Model: Accord | Rated-score 0
CarID: 81 | Year: 2016 | Make: Volkswagen | Model: GTI | Rated-score 0
CarID: 79 | Year: 1993 | Make: Mazda | Model: Miata | Rated-score 0
CarID: 78 | Year: 2015 | Make: Mazda | Model: 6 | Rated-score 0
CarID: 76 | Year: 2005 | Make: Subaru | Model: Sti | Rated-score 0
CarID: 74 | Year: 2015 | Make: Honda | Model: Accord | Rated-score 0
CarID: 72 | Year: 2016 | Make: Honda | Model: Civic si | Rated-score 0
CarID: 71 | Year: 2008 | Make: Acura | Model: TL | Rated-score 0
CarID: 70 | Year: 2014 | Make: Honda | Model: Civic | Rated-score 0
CarID: 7 | Year: 2014 | Make: Nissan | Model: Sentra | Rated-score 0
CarID: 69 | Year: 2018 | Make: Subaru | Model: WRX | Rated-score 0
CarID: 68 | Year: 2013 | Make: Nissan | Model: Altima | Rated-score 0
CarID: 67 | Year: 2015 | Make: Subaru | Model: Sti | Rated-score 0
CarID: 66 | Year: 2010 | Make: Volkswagen | Model: Gti | Rated-score 0
CarID: 64 | Year: 2004 | Make: Subaru | Model: Forester | Rated-score 0
CarID: 6 | Year: 2016 | Make: Volkswagen | Model: Golf r | Rated-score 2
CarID: 56 | Year: 2009 | Make: Volkswagen | Model: Jetta | Rated-score 0
CarID: 52 | Year: 2007 | Make: Mazda | Model: Speed 3 | Rated-score 2
CarID: 48 | Year: 2015 | Make: Acura | Model: TLX | Rated-score 0
CarID: 44 | Year: 2018 | Make: Honda | Model: Civic si | Rated-score 2
CarID: 43 | Year: 2011 | Make: Toyota | Model: 4 Runner | Rated-score 0
CarID: 42 | Year: 2001 | Make: Dodge | Model: Viper | Rated-score 0
CarID: 40 | Year: 2007 | Make: Subaru | Model: Legacy | Rated-score 0
CarID: 38 | Year: 2017 | Make: Hyundai | Model: Elantra sport | Rated-score 2
CarID: 34 | Year: 2010 | Make: Honda | Model: Fit | Rated-score 0
CarID: 28 | Year: 1995 | Make: Bmw | Model: 318xi | Rated-score 0
CarID: 25 | Year: 2012 | Make: Mercedes | Model: C250 | Rated-score 0
CarID: 243 | Year: 2008 | Make: Toyota | Model: Matrix | Rated-score 0
CarID: 242 | Year: 2014 | Make: Nissan | Model: Maxima | Rated-score 0
CarID: 241 | Year: 2007 | Make: Toyota | Model: Camry | Rated-score 0
CarID: 24 | Year: 2013 | Make: Subaru | Model: BRZ | Rated-score 0
CarID: 238 | Year: 1982 | Make: Volkswagen | Model: Rabbit | Rated-score 0
CarID: 237 | Year: 1987 | Make: Volkswagen | Model: Jetta | Rated-score 0
CarID: 230 | Year: 2004 | Make: Acura | Model: Tsx | Rated-score 0
CarID: 23 | Year: 1998 | Make: Subaru | Model: Legacy | Rated-score 0
CarID: 226 | Year: 2008 | Make: Honda | Model: Accord | Rated-score 0
CarID: 225 | Year: 2016 | Make: Acura | Model: TLX | Rated-score 0
CarID: 222 | Year: 2015 | Make: Lexus | Model: Is250 | Rated-score 0
CarID: 220 | Year: 2004 | Make: Audi | Model: A4 | Rated-score 0
CarID: 22 | Year: 2007 | Make: Honda | Model: Civic | Rated-score 0
CarID: 219 | Year: 2016 | Make: Ford | Model: Focus rs | Rated-score 2
CarID: 212 | Year: 2001 | Make: Lexus | Model: Is300 | Rated-score 0
CarID: 207 | Year: 1993 | Make: Honda | Model: Civic eG | Rated-score 2
CarID: 200 | Year: 2016 | Make: Subaru | Model: WRX | Rated-score 0
CarID: 197 | Year: 2010 | Make: Audi | Model: A4 | Rated-score 0
CarID: 193 | Year: 2014 | Make: Nissan | Model: Ssntra | Rated-score 0
CarID: 190 | Year: 1995 | Make: Lexus | Model: Sc300 | Rated-score 0
CarID: 19 | Year: 2001 | Make: Mitsu | Model: Evo7 | Rated-score 0
CarID: 189 | Year: 2012 | Make: Toyota | Model: Fj cruiser | Rated-score 0
CarID: 185 | Year: 2013 | Make: Volkswagen | Model: Jett | Rated-score 0
CarID: 182 | Year: 2012 | Make: Volkswagen | Model: Cc | Rated-score 0
CarID: 18 | Year: 2015 | Make: Audi | Model: S3 | Rated-score 0
CarID: 177 | Year: 2005 | Make: Volkswagen | Model: Jetta gli | Rated-score 2
CarID: 172 | Year: 2014 | Make: Bmw | Model: 4 | Rated-score 0
CarID: 170 | Year: 2014 | Make: Chevy | Model: Cruze | Rated-score 0
CarID: 16 | Year: 2008 | Make: Nissan | Model: 350z | Rated-score 0
CarID: 159 | Year: 2013 | Make: Hyundai | Model: Gen coupe | Rated-score 2
CarID: 158 | Year: 2007 | Make: Nissan | Model: 350z | Rated-score 0
CarID: 156 | Year: 2014 | Make: Volkswagen | Model: Gli | Rated-score 0
CarID: 144 | Year: 2016 | Make: Volkswagen | Model: Gti | Rated-score 0
CarID: 141 | Year: 1993 | Make: Mazda | Model: Miata | Rated-score 0
CarID: 14 | Year: 1990 | Make: Nissan | Model: Skyline | Rated-score 0
CarID: 138 | Year: 1990 | Make: Mazda | Model: Miata | Rated-score 0
CarID: 137 | Year: 2017 | Make: Ford | Model: Focus rs | Rated-score 2
CarID: 130 | Year: 2016 | Make: Honda | Model: Civic si | Rated-score 2
CarID: 13 | Year: 2016 | Make: Honda | Model: Civic 1.5t | Rated-score 2
CarID: 121 | Year: 2012 | Make: Acura | Model: TL | Rated-score 0
CarID: 120 | Year: 2014 | Make: Ford | Model: Focus st | Rated-score 2
CarID: 113 | Year: 2012 | Make: Acura | Model: Tsx sportwagon | Rated-score 6
CarID: 111 | Year: 2007 | Make: Bmw | Model: 328i | Rated-score 0
CarID: 110 | Year: 2011 | Make: Toyota | Model: Camry | Rated-score 0
CarID: 108 | Year: 2013 | Make: Audi | Model: S4 | Rated-score 0
CarID: 106 | Year: 2007 | Make: Acura | Model: Tl type s | Rated-score 4
CarID: 104 | Year: 2014 | Make: Honda | Model: Civic si | Rated-score 2
CarID: 103 | Year: 2010 | Make: Acura | Model: Tsx | Rated-score 0
CarID: 102 | Year: 2015 | Make: Honda | Model: Accord | Rated-score 0
CarID: 101 | Year: 2014 | Make: Honda | Model: Civic | Rated-score 0
CarID: 1 | Year: 2012 | Make: Subaru | Model: WRX | Rated-score 0
CarID: 0 | Year: 2015 | Make: Chevy | Model: Camaro | Rated-score 0
